RATE_DATE,FROM_CURRENCY,TO_CURRENCY,RATE
2025-09-09,CAD,CAD,1.0
2025-09-10,CAD,CAD,1.0
2025-09-11,CAD,CAD,1.0
2025-09-12,CAD,CAD,1.0
2025-09-15,CAD,CAD,1.0
2025-09-16,CAD,CAD,1.0
2025-09-17,CAD,CAD,1.0
2025-09-18,CAD,CAD,1.0
2025-09-19,CAD,CAD,1.0
2025-09-22,CAD,CAD,1.0
2025-09-23,CAD,CAD,1.0
2025-09-24,CAD,CAD,1.0
2025-09-25,CAD,CAD,1.0
2025-09-26,CAD,CAD,1.0
2025-09-29,CAD,CAD,1.0
2025-09-30,CAD,CAD,1.0
2025-10-01,CAD,CAD,1.0
2025-10-02,CAD,CAD,1.0
2025-10-03,CAD,CAD,1.0
2025-10-06,CAD,CAD,1.0
2025-10-07,CAD,CAD,1.0
2025-10-08,CAD,CAD,1.0
2025-10-09,CAD,CAD,1.0
2025-10-10,CAD,CAD,1.0
2025-10-13,CAD,CAD,1.0
2025-10-14,CAD,CAD,1.0
2025-10-15,CAD,CAD,1.0
2025-10-16,CAD,CAD,1.0
2025-10-17,CAD,CAD,1.0
2025-10-20,CAD,CAD,1.0
2025-10-21,CAD,CAD,1.0
2025-10-22,CAD,CAD,1.0
2025-10-23,CAD,CAD,1.0
2025-10-24,CAD,CAD,1.0
2025-10-27,CAD,CAD,1.0
2025-10-28,CAD,CAD,1.0
2025-10-29,CAD,CAD,1.0
2025-10-30,CAD,CAD,1.0
2025-10-31,CAD,CAD,1.0
2025-11-03,CAD,CAD,1.0
2025-11-04,CAD,CAD,1.0
2025-11-05,CAD,CAD,1.0
2025-11-06,CAD,CAD,1.0
2025-11-07,CAD,CAD,1.0
2025-11-10,CAD,CAD,1.0
2025-11-11,CAD,CAD,1.0
2025-11-12,CAD,CAD,1.0
2025-11-13,CAD,CAD,1.0
2025-11-14,CAD,CAD,1.0
2025-11-17,CAD,CAD,1.0
2025-11-18,CAD,CAD,1.0
2025-11-19,CAD,CAD,1.0
2025-11-20,CAD,CAD,1.0
2025-11-21,CAD,CAD,1.0
2025-11-24,CAD,CAD,1.0
2025-11-25,CAD,CAD,1.0
2025-11-26,CAD,CAD,1.0
2025-11-27,CAD,CAD,1.0
2025-11-28,CAD,CAD,1.0
2025-12-01,CAD,CAD,1.0
2025-12-02,CAD,CAD,1.0
2025-12-03,CAD,CAD,1.0
2025-12-04,CAD,CAD,1.0
2025-12-05,CAD,CAD,1.0
2025-12-08,CAD,CAD,1.0
2025-12-09,CAD,CAD,1.0
2025-12-10,CAD,CAD,1.0
2025-12-11,CAD,CAD,1.0
2025-12-12,CAD,CAD,1.0
2025-12-15,CAD,CAD,1.0
2025-12-16,CAD,CAD,1.0
2025-12-17,CAD,CAD,1.0
2025-12-18,CAD,CAD,1.0
2025-12-19,CAD,CAD,1.0
2025-12-22,CAD,CAD,1.0
2025-12-23,CAD,CAD,1.0
2025-12-24,CAD,CAD,1.0
2025-12-25,CAD,CAD,1.0
2025-12-26,CAD,CAD,1.0
2025-12-29,CAD,CAD,1.0
2025-12-30,CAD,CAD,1.0
2025-12-31,CAD,CAD,1.0
